月份,星期,明日工地,明日車次,明日遠距離,明日超遠,今日在職,今日臨時,明日天氣,OUTPUT
5,2,14,48,18,14,6,4,0,15
5,3,9,45,34,27,7,8,0,15
5,4,9,62,53,45,6,9,0,18
5,5,10,31,20,17,7,11,0,13
5,6,3,8,0,0,6,7,1,5
5,7,9,37,20,12,5,0,1,12
5,1,5,20,9,0,6,6,1,7
5,2,13,46,9,1,5,2,0,12
5,3,15,41,6,4,5,7,0,13
5,4,11,23,4,4,7,6,0,8
5,5,10,51,16,16,7,1,1,13
5,6,11,19,3,2,3,10,1,7
5,7,8,30,14,14,3,4,1,11
5,1,8,32,18,19,7,4,1,7
5,2,10,27,16,15,6,1,1,10
5,3,6,23,14,13,6,4,1,9
5,4,6,29,15,15,7,2,1,10
5,5,8,28,1,1,5,5,1,5
5,6,20,7,1,0,3,2,1,5
5,7,9,40,12,10,5,0,1,10
5,1,9,33,14,13,5,5,1,10
5,2,11,34,15,12,5,5,1,11
5,3,7,11,5,5,6,5,1,7
5,4,10,16,4,3,5,2,1,6
5,5,13,37,3,1,5,1,0,9
5,6,4,10,0,0,4,5,0,5
5,7,10,18,9,9,5,0,1,7
6,1,15,58,11,9,6,1,0,15
6,2,11,23,4,3,5,10,1,7
6,3,12,19,7,4,6,1,0,9
6,4,12,22,9,7,5,4,0,8
6,5,7,18,11,3,6,2,0,8
6,6,6,16,12,2,3,5,1,8
6,7,8,16,9,9,4,4,1,9
6,1,8,54,2,2,5,4,1,13
6,2,14,29,8,7,6,7,0,9
6,3,7,15,8,8,6,3,0,7
6,4,11,22,12,10,5,2,0,8
6,5,10,31,16,16,5,3,1,11
6,6,5,9,4,3,2,9,0,6
6,7,7,25,19,19,5,1,0,10
6,1,15,32,11,9,5,5,0,10
6,2,10,38,5,5,6,4,0,10
6,3,9,19,6,5,6,4,0,7
6,4,8,16,7,6,6,1,0,9
6,5,11,23,15,14,6,3,0,10
6,6,5,6,1,0,2,8,0,4
